isin;sector_name;country
IT0001233417;Utilities;Italy
NL0000301109;NULL;Netherlands
GB00B1XZS820;Materials;United Kingdom
GB00B0P7Y252;NULL;United Kingdom
CH0012221716;Industrials;Switzerland
ES0111845014;Industrials;Spain
GB0006731235;Consumer Staples;United Kingdom
GRS015003007;Financials;Greece
FR0000120404;Consumer Discretionary;France
IT0001207098;Utilities;Italy
ES0138991015;NULL;Spain
ES0132105018;Materials;Spain
NL0011794037;Consumer Staples;Netherlands
CH0012138605;Industrials;Switzerland
IT0001125662;NULL;Italy
DE000A1EWWW0;Consumer Discretionary;Germany
GB0002875796;NULL;United Kingdom
NL0000303709;Financials;Netherlands
GB00B4JV1B90;NULL;United Kingdom
BE0974264930;Financials;Belgium
BE0003755692;Health Care;Belgium
FR0000125924;NULL;France
IT0001137345;Consumer Discretionary;Italy
ES0141330C19;Utilities;Spain
IE00BF0L3536;Financials;"Ireland; Republic of"
NL0000235190;Industrials;Netherlands
FR0000031122;Industrials;France
FR0000120073;Materials;France
DE000A0WMPJ6;Information Technology;Germany
NL0013267909;Materials;Netherlands
ES0117160111;Financials;Spain
SE0000382335;Consumer Discretionary;Sweden
GB0007294571;NULL;United Kingdom
GB0000386143;Financials;United Kingdom
BE0003703171;NULL;Belgium
FR0010220475;Industrials;France
ES0177040013;NULL;Spain
DE0007600801;NULL;Germany
FR0000034639;NULL;France
FR0000130007;Information Technology;France
CH0001418323;NULL;Switzerland
DE0008404005;Financials;Germany
IT0000078193;NULL;Italy
ES0109169013;NULL;Spain
ES0125220311;Utilities;Spain
GB0000044551;Financials;United Kingdom
GB0000595859;Information Technology;United Kingdom
DE0006275001;NULL;Germany
NL0010273215;Information Technology;Netherlands
NL0000301380;NULL;Netherlands
SE0007100581;Industrials;Sweden
FR0010478248;Communication Services;France
SE0011166610;Industrials;Sweden
IT0003506190;Industrials;Italy
GB0000612670;NULL;NULL
FR0000051732;Information Technology;France
GB0002162385;Financials;United Kingdom
DE0005088504;NULL;Germany
GB00B693LN18;NULL;United Kingdom
FR0000130460;NULL;France
GB0033126615;NULL;United Kingdom
FR0000120628;Financials;France
GB0009895292;Health Care;United Kingdom
IT0003918577;NULL;Italy
GB0000673409;NULL;United Kingdom
GB0002634946;Industrials;United Kingdom
CH0012410517;Financials;Switzerland
IT0001254884;NULL;Italy
BE0003790079;Information Technology;Belgium
GB0031348658;Financials;United Kingdom
DE000BASF111;Materials;Germany
GB0002875804;Consumer Staples;United Kingdom
DE000BAY0017;Health Care;Germany
GB00BKDM7X41;Industrials;United Kingdom
PTBPI0AM0004;NULL;Portugal
ES0113211835;Financials;Spain
GB0003863023;NULL;United Kingdom
IT0000066198;NULL;Italy
PTBCP0AM0015;Financials;Portugal
DE0005200000;Consumer Staples;Germany
PTBES0AM0007;Financials;Portugal
GB0008762899;Energy;United Kingdom
GB0007382939;NULL;United Kingdom
GB0002243052;NULL;United Kingdom
GB00BH0P3Z91;Materials;United Kingdom
DE0005223903;NULL;Germany
FR0000120966;Industrials;France
CH0038389992;NULL;Switzerland
IE00BD1RP616;Financials;"Ireland; Republic of"
FI0009007264;Information Technology;Finland
DE0005303002;NULL;Germany
ES0113679I37;Financials;Spain
IT0000062197;NULL;Italy
GB00B04KC328;NULL;United Kingdom
GB0001367019;Real Estate;United Kingdom
IT0004776628;Financials;Italy
IT0005218752;Financials;Italy
DE0005190003;Consumer Discretionary;Germany
