2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306;AT0000606306
AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011;AT0000652011
AT0000720008;AT0000720008;AT0000720008;AT0000720008;AT0000720008;AT0000720008;AT0000720008;AT0000730007;AT0000730007;AT0000730007;AT0000730007
AT0000730007;AT0000730007;AT0000730007;AT0000730007;AT0000730007;AT0000730007;AT0000730007;AT0000743059;AT0000743059;AT0000743059;AT0000743059
AT0000743059;AT0000743059;AT0000743059;AT0000743059;AT0000743059;AT0000743059;AT0000743059;AT0000937503;AT0000831706;AT0000831706;AT0000831706
AT0000746409;AT0000746409;AT0000746409;AT0000746409;AT0000746409;AT0000746409;AT0000908504;AT0000A18XM4;AT0000937503;AT0000937503;AT0000937503
AT0000831706;AT0000831706;AT0000831706;AT0000831706;AT0000831706;AT0000908504;AT0000937503;AT0000A21KS2;AT0000A18XM4;AT0000A18XM4;AT0000A18XM4
AT0000908504;AT0000908504;AT0000908504;AT0000908504;AT0000908504;AT0000937503;AT0000A21KS2;BE0003470755;AT0000A21KS2;BE0003470755;BE0003470755
AT0000937503;AT0000937503;AT0000937503;AT0000937503;AT0000937503;AT0000A21KS2;BE0003470755;BE0003565737;BE0003470755;BE0003565737;BE0003565737
AT0000A21KS2;AT0000APOST4;AT0000A21KS2;AT0000A21KS2;AT0000A21KS2;BE0003470755;BE0003565737;BE0003593044;BE0003565737;BE0003593044;BE0003593044
BE0003470755;BE0003470755;BE0003470755;BE0003470755;BE0003470755;BE0003565737;BE0003593044;BE0003739530;BE0003593044;BE0003739530;BE0003739530
BE0003565737;BE0003565737;BE0003565737;BE0003565737;BE0003565737;BE0003593044;BE0003739530;BE0003764785;BE0003739530;BE0003764785;BE0003764785
BE0003717312;BE0003593044;BE0003593044;BE0003593044;BE0003593044;BE0003739530;BE0003764785;BE0003797140;BE0003764785;BE0003797140;BE0003797140
BE0003735496;BE0003678894;BE0003717312;BE0003717312;BE0003717312;BE0003764785;BE0003797140;BE0003810273;BE0003797140;BE0003810273;BE0003810273
BE0003739530;BE0003717312;BE0003735496;BE0003735496;BE0003739530;BE0003797140;BE0003810273;BE0974256852;BE0003810273;BE0003818359;BE0003818359
BE0003764785;BE0003735496;BE0003739530;BE0003739530;BE0003764785;BE0003810273;BE0974256852;BE0974264930;BE0974256852;BE0974256852;BE0974256852
BE0003797140;BE0003739530;BE0003764785;BE0003764785;BE0003797140;BE0003846632;BE0974264930;BE0974268972;BE0974264930;BE0974264930;BE0974264930
BE0003810273;BE0003764785;BE0003797140;BE0003797140;BE0003810273;BE0974256852;BE0974293251;BE0974293251;BE0974268972;BE0974268972;BE0974293251
BE0003867844;BE0003797140;BE0003810273;BE0003810273;BE0974256852;BE0974264930;BE0974320526;BE0974320526;BE0974276082;BE0974276082;BE0974320526
